City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
511,Luganville,VU,78.28,scattered clouds,-15.5333,167.1667,The Espiritu Hotel
512,Matamoros,MX,89.71,broken clouds,25.5333,-103.25,Quinta Belem
514,Ghazipur,IN,83.97,light rain,25.5833,83.5667,Hotel Shyam
519,Beyneu,KZ,89.22,broken clouds,45.3167,55.2,NUR
521,Vila,PT,80.71,clear sky,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
524,Sturgeon Falls,CA,82.62,overcast clouds,46.3646,-79.9326,Lincoln Motel
531,Palompon,PH,80.62,broken clouds,11.0508,124.3843,Claudio A. Chiong Bed & Bath
536,Margate,GB,77.88,scattered clouds,51.3813,1.3862,Premier Inn Margate hotel
541,Odweyne,SO,71.82,overcast clouds,9.4092,45.064,Eng Hiirey House
542,Alugan,PH,81.25,broken clouds,12.2188,125.4808,JM Lodge
543,Demba,CD,78.62,scattered clouds,-5.51,22.2667,Guest House Du Cinquantenaire
545,Francisco Sa,BR,84.67,clear sky,-16.4758,-43.4883,Amaralina Hotel
546,Gotsu,JP,73.49,overcast clouds,35.0,132.2167,Yurusato
553,Costinesti,RO,78.04,clear sky,43.95,28.6333,Villa Mar Bella
556,Hailey,US,87.8,few clouds,43.5196,-114.3153,Wood River Inn & Suites
559,Tres Lagoas,BR,89.83,clear sky,-20.7511,-51.6783,Druds Express Hotel
560,Maragogi,BR,77.07,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
564,Tezu,IN,76.35,overcast clouds,27.9167,96.1667,Circuit House
566,Port-Gentil,GA,76.96,broken clouds,-0.7193,8.7815,Fengshui Residence
567,Macheng,CN,75.16,overcast clouds,31.1783,115.0319,Shell Macheng City Macheng Bus Station Hotel
568,Catamarca,AR,72.93,broken clouds,-28.4696,-65.7852,Amerian Catamarca Park Hotel
571,Ambarnath,IN,82.0,scattered clouds,19.2,73.1667,Shree Yash Residency
574,Leova,MD,78.1,few clouds,46.4786,28.2553,Relax
576,Nata,PA,85.87,overcast clouds,8.3333,-80.5167,Rey David
578,Hayden,US,82.78,clear sky,47.766,-116.7866,Triple Play Resort Hotel & Suites
579,Jiwani,PK,82.9,overcast clouds,25.05,61.7417,Hamza hotel jiwani
582,Inirida,CO,86.31,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
585,Phonhong,LA,77.31,overcast clouds,18.5007,102.4166,Manyvong Guest House
587,Pokhara,NP,72.73,moderate rain,28.2333,83.9833,OYO 170 Hotel View Point
590,Kapit,MY,73.54,broken clouds,2.0167,112.9333,Hotel Meligai Kapit
592,Cabrobo,BR,79.38,overcast clouds,-8.5142,-39.31,Hotel Limarques
593,Nuevitas,CU,87.82,scattered clouds,21.5453,-77.2644,Hotel Caonaba
594,Wuxue,CN,78.24,overcast clouds,29.8506,115.5525,Wuxue Station Hostel
600,Manggar,ID,82.04,scattered clouds,-2.8833,108.2667,Guest Hotel
601,Bubaque,GW,76.3,moderate rain,11.2833,-15.8333,"Casa Dora, Bubaque"
603,Kutum,SD,78.93,light rain,14.2,24.6667,Dibbo areaمنطقة دبو
607,Saint-Francois,FR,74.64,scattered clouds,46.4154,3.9054,Manoir Du Bonheur
610,Lucenec,SK,81.3,clear sky,48.3325,19.6671,Hotel Slovan
614,Fredericton,CA,78.42,clear sky,45.9454,-66.6656,"Crowne Plaza Fredericton-Lord Beaverbrook, an IHG Hotel"
619,Pemba,MZ,74.1,scattered clouds,-12.974,40.5178,Guesthouse Samotina
620,Constantine,DZ,83.61,few clouds,36.365,6.6147,Grand Hotel Cirta
