City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
100,Sola,VU,2022-07-20 18:06:39,-13.8833,167.55,80.58,80,98,19.55,overcast clouds
101,Khatanga,RU,2022-07-20 18:06:40,71.9667,102.5,46.72,59,100,21.39,overcast clouds
102,Lavrentiya,RU,2022-07-20 18:07:34,65.5833,-171.0,39.54,94,100,14.0,overcast clouds
103,Pashiya,RU,2022-07-20 18:10:25,58.4324,58.2562,55.02,90,100,3.18,overcast clouds
104,Mataura,NZ,2022-07-20 18:05:38,-46.1927,168.8643,38.48,93,47,1.57,scattered clouds
105,Miracema,BR,2022-07-20 18:10:25,-21.4122,-42.1967,82.24,45,16,6.98,few clouds
106,Mangai,CD,2022-07-20 18:10:26,-4.05,19.5333,80.11,49,72,1.12,broken clouds
107,Touros,BR,2022-07-20 18:06:52,-5.1989,-35.4608,80.47,66,46,16.22,scattered clouds
108,Jerome,US,2022-07-20 18:10:26,42.7241,-114.5186,90.88,32,0,11.61,clear sky
109,Ishigaki,JP,2022-07-20 18:10:26,24.3448,124.1572,85.39,82,3,14.79,clear sky
110,Vanimo,PG,2022-07-20 18:07:12,-2.6741,141.3028,75.2,89,100,6.55,light rain
111,Avarua,CK,2022-07-20 18:05:56,-21.2078,-159.775,73.45,68,75,16.11,broken clouds
112,Yar-Sale,RU,2022-07-20 18:10:27,66.8333,70.8333,54.46,70,20,11.95,few clouds
113,Lashio,MM,2022-07-20 18:10:27,22.9333,97.75,70.2,99,99,0.92,overcast clouds
114,Puerto Madryn,AR,2022-07-20 18:10:27,-42.7692,-65.0385,57.47,54,100,22.59,overcast clouds
115,Oskaloosa,US,2022-07-20 18:08:11,41.2964,-92.6444,86.41,62,0,18.41,clear sky
116,La Palma,US,2022-07-20 18:10:28,33.8464,-118.0467,91.81,67,0,6.91,clear sky
117,Constitucion,CL,2022-07-20 18:10:28,-35.3333,-72.4167,58.93,67,16,4.76,few clouds
118,Ilulissat,GL,2022-07-20 18:06:40,69.2167,-51.1,62.62,36,75,12.66,broken clouds
119,Tasiilaq,GL,2022-07-20 18:05:54,65.6145,-37.6368,42.96,80,43,3.24,scattered clouds
120,Borogontsy,RU,2022-07-20 18:10:28,62.6683,131.1683,68.23,73,82,6.62,broken clouds
121,Morehead,US,2022-07-20 18:10:29,37.2711,-87.1764,92.98,67,0,5.75,clear sky
122,Korla,CN,2022-07-20 18:10:29,41.7597,86.1469,70.59,42,11,5.03,few clouds
123,Sainte-Suzanne,RE,2022-07-20 18:10:29,-20.9061,55.6089,71.82,77,75,23.02,broken clouds
124,Port Elizabeth,ZA,2022-07-20 18:03:22,-33.918,25.5701,57.09,94,100,1.99,overcast clouds
125,Husavik,IS,2022-07-20 18:06:41,66.0449,-17.3389,46.44,86,100,7.94,overcast clouds
126,Kununurra,AU,2022-07-20 18:10:30,-15.7667,128.7333,58.98,88,46,2.3,scattered clouds
127,Gold Coast,AU,2022-07-20 18:07:29,-28.0,153.4333,59.23,88,75,17.27,broken clouds
128,Caravelas,BR,2022-07-20 18:07:15,-17.7125,-39.2481,76.78,63,51,8.25,broken clouds
129,Eureka,US,2022-07-20 18:06:40,40.8021,-124.1637,76.68,82,68,6.2,broken clouds
130,Abbeville,FR,2022-07-20 18:10:30,50.1,1.8333,67.96,68,77,8.43,broken clouds
131,Saint Anthony,US,2022-07-20 18:07:54,45.0205,-93.218,87.84,43,0,25.32,clear sky
132,San Patricio,US,2022-07-20 18:06:53,28.017,-97.5169,96.19,42,1,18.75,clear sky
133,Tilichiki,RU,2022-07-20 18:10:30,60.4667,166.1,47.61,60,7,6.71,clear sky
134,Beloha,MG,2022-07-20 18:10:31,-25.1667,45.05,64.44,66,0,8.05,clear sky
135,Teplodar,UA,2022-07-20 18:10:31,46.5059,30.3252,76.73,37,41,5.57,scattered clouds
136,Kruisfontein,ZA,2022-07-20 18:06:16,-34.0033,24.7314,54.88,91,99,2.15,overcast clouds
137,Hope Mills,US,2022-07-20 18:10:31,34.9704,-78.9453,95.38,64,40,13.8,scattered clouds
